,date,label
0,3/5/2015,0
1,4/5/2015,0
2,5/5/2015,0
3,6/5/2015,0
4,7/5/2015,0
5,8/5/2015,0
6,9/5/2015,0
7,10/5/2015,0
8,11/5/2015,0
9,12/5/2015,0
10,13/5/2015,0
11,14/5/2015,0
12,15/5/2015,0
13,16/5/2015,0
14,17/5/2015,0
15,18/5/2015,0
16,19/5/2015,0
17,20/5/2015,0
18,21/5/2015,0
19,22/5/2015,0
20,23/5/2015,0
21,24/5/2015,0
22,25/5/2015,0
23,26/5/2015,0
24,27/5/2015,0
25,28/5/2015,0
26,29/5/2015,0
27,30/5/2015,0
28,2/6/2015,0
29,3/6/2015,0
30,4/6/2015,0
31,5/6/2015,1
32,6/6/2015,0
33,7/6/2015,0
34,8/6/2015,0
35,9/6/2015,0
36,10/6/2015,0
37,11/6/2015,0
38,12/6/2015,0
39,13/6/2015,0
40,14/6/2015,0
41,15/6/2015,0
42,16/6/2015,0
43,17/6/2015,0
44,18/6/2015,0
45,19/6/2015,0
46,20/6/2015,0
47,21/6/2015,0
48,22/6/2015,0
49,23/6/2015,0
50,24/6/2015,0
51,25/6/2015,0
52,26/6/2015,0
53,27/6/2015,0
54,28/6/2015,0
55,29/6/2015,0
56,30/6/2015,0
57,1/7/2015,0
58,2/7/2015,0
59,3/7/2015,0
60,4/7/2015,0
61,5/7/2015,0
62,6/7/2015,1
63,7/7/2015,0
64,8/7/2015,0
65,9/7/2015,0
66,10/7/2015,0
67,11/7/2015,0
68,12/7/2015,0
69,13/7/2015,0
70,14/7/2015,0
71,15/7/2015,0
72,16/7/2015,0
73,17/7/2015,0
74,18/7/2015,0
75,19/7/2015,0
76,20/7/2015,0
77,21/7/2015,0
78,22/7/2015,0
79,23/7/2015,0
80,24/7/2015,0
81,25/7/2015,0
82,26/7/2015,0
83,27/7/2015,0
84,28/7/2015,0
85,29/7/2015,0
86,30/7/2015,0
87,31/7/2015,0
88,1/8/2015,0
89,2/8/2015,0
90,3/8/2015,0
91,4/8/2015,0
92,5/8/2015,0
93,6/8/2015,0
94,7/8/2015,0
95,8/8/2015,0
96,9/8/2015,0
97,10/8/2015,0
98,11/8/2015,0
99,12/8/2015,0
100,13/8/2015,0
101,14/8/2015,0
102,15/8/2015,0
103,16/8/2015,0
104,17/8/2015,0
105,18/8/2015,0
106,19/8/2015,0
107,20/8/2015,0
108,21/8/2015,0
109,22/8/2015,0
110,23/8/2015,0
111,24/8/2015,0
112,25/8/2015,0
113,26/8/2015,0
114,27/8/2015,0
115,28/8/2015,0
116,29/8/2015,0
117,30/8/2015,0
118,31/8/2015,0
119,1/9/2015,0
120,2/9/2015,0
121,3/9/2015,0
122,4/9/2015,0
123,5/9/2015,0
124,6/9/2015,0
125,7/9/2015,0
126,8/9/2015,0
127,9/9/2015,0
128,10/9/2015,0
129,11/9/2015,0
130,12/9/2015,0
131,13/9/2015,0
132,14/9/2015,0
133,15/9/2015,0
134,16/9/2015,0
135,17/9/2015,0
136,18/9/2015,0
137,19/9/2015,0
138,20/9/2015,0
139,21/9/2015,0
140,22/9/2015,1
141,23/9/2015,0
142,24/9/2015,0
143,25/9/2015,0
144,26/9/2015,0
145,27/9/2015,0
146,28/9/2015,0
147,29/9/2015,0
148,30/9/2015,0
149,1/10/2015,0
150,2/10/2015,0
151,3/10/2015,0
152,4/10/2015,0
153,5/10/2015,0
154,6/10/2015,0
155,7/10/2015,0
156,8/10/2015,0
157,9/10/2015,0
158,10/10/2015,0
159,11/10/2015,0
160,12/10/2015,0
161,13/10/2015,0
162,14/10/2015,0
163,15/10/2015,0
164,16/10/2015,0
165,17/10/2015,0
166,18/10/2015,0
167,19/10/2015,0
168,20/10/2015,0
169,21/10/2015,0
170,22/10/2015,0
171,23/10/2015,0
172,24/10/2015,0
173,25/10/2015,0
174,26/10/2015,0
175,27/10/2015,0
176,28/10/2015,0
177,29/10/2015,0
178,30/10/2015,0
179,31/10/2015,0
180,1/11/2015,0
181,2/11/2015,0
182,3/11/2015,0
183,4/11/2015,0
184,5/11/2015,0
185,6/11/2015,0
186,7/11/2015,0
187,8/11/2015,0
188,9/11/2015,0
189,10/11/2015,0
190,11/11/2015,0
191,12/11/2015,0
192,13/11/2015,0
193,14/11/2015,0
194,15/11/2015,0
195,16/11/2015,0
196,17/11/2015,0
197,18/11/2015,0
198,19/11/2015,0
199,20/11/2015,1
200,21/11/2015,0
201,22/11/2015,0
202,23/11/2015,0
